time,v_c(20),v_c(50),v_c(80),v_c(100),G_i(20),G_i(50),G_i(80),G_i(100),Na_i(20),Na_i(50),Na_i(80),Na_i(100),Cl_i(20),Cl_i(50),Cl_i(80),Cl_i(100),J_W_A(20),J_W_A(50),J_W_A(80),J_W_A(100),Cl_i(20)-A,Cl_i(50)-A,Cl_i(80)-A,Cl_i(100)-A,Na_i(20)-A,Na_i(50)-A,Na_i(80)-A,Na_i(100)-A,G_i(20)-A,G_i(50)-A,G_i(80)-A,G_i(100)-A,v_c(20)-A,v_c(50)-A,v_c(80)-A,v_c(100)-A,J_W_A(20)-A,J_W_A(50)-A,J_W_A(80)-A,J_W_A(100)-A
0,2.00E-15,2.00E-15,2.00E-15,2.00E-15,9,9,9,9,45,45,45,45,57,57,57,57,4.32E-06,9.58E-07,2.22E-06,-2.44E-07,57,57,57,57,45,45,45,45,9,9,9,9,2.00E-15,2.00E-15,2.00E-15,2.00E-15,4.32E-06,9.58E-07,2.22E-06,3.48E-06
1,1.93E-15,1.98E-15,1.96E-15,1.94E-15,9.62958,9.20562,9.41134,9.54813,46.7782,45.4744,45.9565,46.4463,59.2527,57.6078,58.215,58.8335,3.80E-06,8.22E-07,1.94E-06,-3.49E-08,59.2574,57.6098,58.2187,58.8379,46.782,45.4759,45.9596,46.4499,9.35698,9.0889,9.18961,9.28957,1.93E-15,1.98E-15,1.96E-15,1.94E-15,3.81E-06,8.27E-07,1.95E-06,3.07E-06
2,1.86E-15,1.96E-15,1.93E-15,1.89E-15,10.2367,9.40417,9.80533,10.0745,48.3943,45.8967,46.8072,47.7482,61.2733,58.1229,59.2693,60.4572,3.33E-06,7.05E-07,1.69E-06,4.80E-08,61.2905,58.1296,59.2825,60.4731,48.4084,45.9021,46.8179,47.7612,9.69402,9.17452,9.36728,9.56141,1.86E-15,1.96E-15,1.93E-15,1.89E-15,3.35E-06,7.14E-07,1.71E-06,2.70E-06
3,1.81E-15,1.95E-15,1.90E-15,1.84E-15,10.8137,9.59236,10.1784,10.5735,49.8388,46.2665,47.5543,48.903,63.0754,58.5681,60.1901,61.8933,2.90E-06,6.03E-07,1.48E-06,1.16E-07,63.112,58.5818,60.2175,61.9268,49.8688,46.2777,47.5767,48.9305,10.005,9.25352,9.52978,9.81099,1.81E-15,1.95E-15,1.90E-15,1.84E-15,2.93E-06,6.15E-07,1.50E-06,2.36E-06
4,1.76E-15,1.94E-15,1.87E-15,1.81E-15,11.3559,9.76936,10.5293,11.0424,51.1066,46.588,48.2032,49.912,64.6567,58.9525,60.9881,63.1471,2.53E-06,5.15E-07,1.29E-06,1.73E-07,64.7189,58.975,61.0337,63.2036,51.1575,46.6065,48.2407,49.9584,10.2865,9.32498,9.67616,10.0363,1.76E-15,1.94E-15,1.87E-15,1.81E-15,2.56E-06,5.29E-07,1.31E-06,2.07E-06
5,1.73E-15,1.93E-15,1.85E-15,1.78E-15,11.8614,9.93553,10.8585,11.4806,52.2006,46.8665,48.7621,50.7818,66.0219,59.2833,61.674,64.2276,2.20E-06,4.38E-07,1.12E-06,2.21E-07,66.1148,59.3162,61.7412,64.3117,52.2769,46.8935,48.8173,50.8509,10.5377,9.38915,9.80694,10.2373,1.72E-15,1.93E-15,1.85E-15,1.77E-15,2.24E-06,4.54E-07,1.15E-06,1.82E-06
6,1.70E-15,1.92E-15,1.84E-15,1.75E-15,12.3304,10.0916,11.1672,11.8888,53.13,47.107,49.2394,51.5222,67.1825,59.567,62.2586,65.1474,1.92E-06,3.72E-07,9.81E-07,2.60E-07,67.3102,59.6116,62.3502,65.2625,53.2349,47.1437,49.3147,51.6169,10.7594,9.44662,9.92325,10.4153,1.69E-15,1.92E-15,1.83E-15,1.75E-15,1.96E-06,3.89E-07,1.01E-06,1.59E-06
7,1.67E-15,1.91E-15,1.82E-15,1.73E-15,12.7643,10.2385,11.4569,12.2686,53.9079,47.3144,49.6441,52.145,68.1549,59.8095,62.7531,65.9212,1.68E-06,3.15E-07,8.59E-07,2.93E-07,68.3202,59.8668,62.871,66.07,54.0439,47.3615,49.7412,52.2675,10.9535,9.49811,10.0264,10.5718,1.67E-15,1.91E-15,1.82E-15,1.73E-15,1.72E-06,3.33E-07,8.93E-07,1.41E-06
8,1.65E-15,1.91E-15,1.81E-15,1.71E-15,13.1652,10.3771,11.7289,12.6221,54.5499,47.4927,49.9848,52.663,68.9584,60.0162,63.1682,66.5649,1.48E-06,2.66E-07,7.55E-07,3.20E-07,69.1633,60.0868,63.3139,66.7492,54.7186,47.5508,50.1049,52.8148,11.1224,9.54432,10.1179,10.7091,1.65E-15,1.91E-15,1.80E-15,1.71E-15,1.52E-06,2.85E-07,7.90E-07,1.24E-06
9,1.63E-15,1.90E-15,1.80E-15,1.70E-15,13.5361,10.508,11.985,12.9515,55.0724,47.6459,50.2695,53.0891,69.6136,60.1918,63.5139,67.0945,1.31E-06,2.24E-07,6.66E-07,3.42E-07,69.859,60.2762,63.6885,67.3153,55.2747,47.7155,50.4136,53.2712,11.269,9.58589,10.199,10.8292,1.63E-15,1.90E-15,1.79E-15,1.69E-15,1.35E-06,2.44E-07,7.03E-07,1.11E-06
